,ar,bg,bn,ca,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,am,am_dupl,hy,sd,hy_dupl,sd_dupl,km,km_dupl,dv,dv_dupl,lo,lo_dupl,ug,ug_dupl
0,82,36,40,54,1.0,64,6.0,60,2672,92,17138,1393,59,52,33,129,1782,24,165,55,3.0,215,24.0,1626,37,301,14.0,33,46,33,31,2.0,3.0,2.0,4.0,191,28,2.0,5.0,205,4.0,224,101,959,2.0,32,23.0,110,54,28.0,69,45,294,2418,3245,61,81,242,14353,34734,194,2023-01-31,0,0,0,0,0.0,9,0.0,0,9,0,68,7,0,0,0,0,0,0,0,0,0.0,1,0.0,14,0,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.0,0,0,1,0,66,0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,117,41,50,109,1.0,110,28.0,82,3478,105,25624,1600,116,46,66,105,2054,62,282,74,11.0,322,14.0,1207,49,368,36.0,26,32,25,39,8.0,14.0,0.0,8.0,207,46,4.0,8.0,294,1.0,236,120,1051,1.0,34,25.0,115,101,33.0,58,61,280,2609,4382,95,102,91,19162,46266,896,2023-01-06,0,0,0,1,0.0,0,1.0,0,19,0,642,10,2,0,0,1,8,0,1,0,0.0,1,0.0,0,0,7,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,3,0,2,0.0,0,0.0,0,0,0.0,0,0,1,0,195,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24,4,1,16,0.0,37,0.0,5,210,56,5042,3109,10,10,8,15,584,11,125,7,0.0,66,0.0,1479,9,36,4.0,2,5,5,3,1.0,0.0,0.0,0.0,70,1,0.0,0.0,85,0.0,53,22,374,0.0,4,4.0,6,2,2.0,33,2,246,1792,750,118,22,29,7942,14499,8379,2023-06-01,10,0,0,0,0.0,9,0.0,0,69,15,3218,2752,0,4,0,8,481,0,80,0,0.0,7,0.0,1148,4,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,31,0,0.0,0.0,34,0.0,19,5,22,0.0,0,0.0,1,0,0.0,2,0,136,9,188,103,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,71,54,58,87,0.0,104,15.0,87,3914,129,22934,1622,107,44,61,155,2171,30,237,64,4.0,244,24.0,1571,55,291,23.0,27,32,39,27,10.0,4.0,1.0,1.0,269,36,4.0,7.0,379,2.0,274,97,1157,0.0,27,38.0,121,62,27.0,78,65,291,2504,3962,88,101,174,17426,44068,506,2023-01-19,0,0,0,0,0.0,9,0.0,0,11,0,315,4,0,0,1,1,1,0,0,0,0.0,0,0.0,1,0,8,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,9,1,0,0.0,0,0.0,0,0,0.0,0,0,0,2,113,0,1,29,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,354,43,36,280,0.0,154,22.0,74,8725,282,82962,8070,105,57,28,206,8808,51,422,71,6.0,391,19.0,5519,50,530,17.0,37,54,37,59,11.0,9.0,14.0,9.0,434,49,9.0,18.0,530,2.0,1804,196,2000,3.0,27,27.0,176,75,56.0,395,93,324,3090,6161,119,150,180,65487,133446,88069,2023-02-28,197,2,0,155,0.0,74,11.0,8,5411,148,59051,6014,16,9,7,27,6781,2,131,7,0.0,114,1.0,3882,0,178,0.0,10,5,0,20,0.0,0.0,8.0,0.0,205,1,2.0,0.0,254,0.0,1426,83,949,0.0,0,0.0,60,12,10.0,293,22,104,665,1575,46,43,42,11.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,121,39,46,107,1.0,100,11.0,77,7870,291,66096,6285,129,46,51,291,7374,50,340,61,14.0,297,26.0,3971,53,375,18.0,32,85,35,32,7.0,8.0,3.0,3.0,246,36,6.0,9.0,354,4.0,808,189,1453,1.0,41,36.0,248,60,29.0,67,79,334,2522,4911,85,203,123,48926,106192,72813,2023-04-08,41,9,2,36,0.0,49,1.0,15,5989,193,47279,5226,49,4,9,145,6050,2,121,2,5.0,80,0.0,3058,0,180,0.0,3,8,3,7,0.0,0.0,1.0,0.0,88,6,0.0,1.0,199,2.0,453,102,754,0.0,3,0.0,162,10,0.0,19,32,191,722,1379,36,68,19,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,161,43,43,128,0.0,183,17.0,87,7597,350,82356,7824,163,62,141,347,8780,23,434,57,26.0,444,21.0,5565,36,655,27.0,28,86,40,94,5.0,11.0,3.0,6.0,464,41,5.0,7.0,408,3.0,552,953,1795,1.0,62,38.0,135,60,32.0,148,70,457,3099,6226,100,185,139,63160,130839,86654,2023-03-27,56,7,4,37,0.0,103,4.0,18,5451,184,57129,6165,58,4,91,90,7073,0,207,4,2.0,96,0.0,4297,0,350,0.0,0,16,2,53,1.0,2.0,1.0,1.0,248,3,0.0,0.0,182,2.0,286,808,715,0.0,26,2.0,29,6,0.0,67,6,134,913,1615,30,46,23,11.0,7.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,467,59,46,246,0.0,166,25.0,97,5962,223,72090,6529,299,53,53,432,9234,48,656,107,14.0,353,24.0,6152,41,960,20.0,64,54,45,71,10.0,19.0,13.0,6.0,359,74,6.0,4.0,459,56.0,451,293,1594,1.0,83,28.0,145,51,32.0,155,105,603,3771,6430,588,179,180,56183,120293,79642,2023-03-10,106,15,1,143,0.0,89,9.0,20,3878,130,50178,5126,194,4,15,215,7256,7,382,26,0.0,67,1.0,4881,0,685,3.0,28,10,3,28,0.0,2.0,11.0,0.0,165,26,1.0,0.0,234,27.0,209,178,577,0.0,54,3.0,50,5,1.0,87,28,286,1509,2220,332,71,66,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,21,16,10,14,0.0,32,0.0,16,133,83,4838,7905,30,22,15,16,1946,6,31,16,4.0,54,5.0,2293,11,47,13.0,5,7,9,3,0.0,0.0,0.0,0.0,52,6,0.0,0.0,32,0.0,76,34,395,0.0,6,11.0,29,14,12.0,27,8,46,1557,485,7,58,21,12015,20488,14001,2023-05-30,5,0,0,7,0.0,10,0.0,1,37,38,3073,7027,3,8,2,0,1767,0,14,0,0.0,6,0.0,1799,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17,0,0.0,0.0,11,0.0,16,10,15,0.0,1,0.0,5,0,2.0,8,0,10,19,71,0,9,0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,328,51,37,459,0.0,128,9.0,87,3211,579,57347,17606,123,44,43,72,9531,50,189,53,12.0,505,24.0,10475,73,243,26.0,35,36,31,29,1.0,6.0,0.0,2.0,5911,46,0.0,0.0,309,3.0,509,318,2203,0.0,69,49.0,88,32,39.0,152,41,390,7047,5063,150,450,111,43905,124425,77426,2023-05-05,192,5,0,316,0.0,31,0.0,11,2201,269,33399,15068,3,7,2,13,8254,9,86,2,3.0,89,0.0,8449,6,45,1.0,1,0,0,0,0.0,3.0,0.0,0.0,5092,1,0.0,0.0,140,2.0,260,188,327,0.0,27,0.0,15,3,0.0,47,0,135,276,2187,121,118,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
