,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,hy,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,hy_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,sd,sd_dupl,km,km_dupl,lo,ug,lo_dupl,ug_dupl,bo,bo_dupl
0,33.0,639,72,305,469,4.0,253,67,244,15852,2.0,1341,204544,23049,374,74,176,1254,14528,99,1019,154,34,1.0,662,50,17556,94,2417,21,39,58,77,178,82.0,88,5.0,61.0,2230,271,8.0,10.0,2792,8.0,1484,395,3626,49.0,85,72,1011,209,84,419,272,4739,5390,16298,148,112,542,155908,326229,200308,2022-05-14,22.0,352,14,2,133,0.0,101,22,72,9297,0.0,707,136644,12881,206,3,101,618,10069,13,255,23,4,0.0,78,4,10325,13,821,0,2,11,12,108,0.0,10,1.0,0.0,1195,84,2.0,0.0,1510,1.0,457,95,2120,0.0,11,11,678,45,7,280,79,3171,2790,4460,42,13,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.0,1950,44,34,90,4.0,100,19,77,3924,0.0,233,29734,2957,93,45,228,212,3518,28,232,71,17,2.0,323,24,2587,88,521,29,36,44,35,46,6.0,9,17.0,5.0,501,59,6.0,1.0,331,4.0,425,120,1747,1.0,39,36,99,55,39,159,61,1569,2809,7665,106,161,483,28056,63866,681,2022-09-24,0.0,88,0,0,0,0.0,0,0,0,8,0.0,0,290,19,1,0,26,0,10,0,0,0,0,0.0,0,0,31,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,1,0.0,0,0,0,0,0,0,0,15,0,178,0,0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17.0,693,43,324,225,1.0,288,24,168,12670,0.0,1019,160330,8406,302,64,84,561,13300,84,1361,88,30,1.0,670,27,10928,62,2948,55,59,197,34,81,117.0,111,8.0,56.0,986,82,8.0,17.0,966,5.0,907,254,2431,72.0,52,43,270,349,120,435,156,4673,3223,13105,252,93,1066,113255,245001,146864,2022-05-23,10.0,313,2,3,100,0.0,145,5,37,7788,0.0,422,101062,3909,194,3,30,324,9974,9,387,8,9,0.0,124,4,6807,5,850,27,1,121,5,35,0.0,5,3.0,0.0,523,17,2.0,0.0,485,0.0,265,73,1486,1.0,12,4,102,121,25,321,63,3248,2603,4026,87,10,669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17.0,2026,25,192,300,7.0,435,22,300,15123,0.0,556,258637,14810,463,18,816,381,20149,260,11254,84,18,3.0,847,4,11793,98,4473,15,325,120,107,53,129.0,217,17.0,14.0,1111,63,101.0,58.0,3310,17.0,2103,266,5349,17.0,47,15,182,2010,130,12173,154,4680,3325,15306,449,67,724,244493,395772,251503,2022-03-03,3.0,657,7,48,101,0.0,195,0,118,8112,0.0,194,174171,9379,255,6,283,129,13539,57,6841,33,4,0.0,348,0,6663,21,2509,1,159,39,89,21,14.0,71,13.0,2.0,444,20,27.0,9.0,1899,2.0,874,89,2682,2.0,12,0,66,1361,25,11494,72,2034,1147,4614,161,3,382,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,260,35,70,58,1.0,94,15,125,5259,0.0,193,32431,2181,105,43,103,194,2601,33,292,88,24,6.0,556,32,2761,56,474,27,32,35,28,40,4.0,29,1.0,0.0,317,47,3.0,1.0,326,6.0,371,99,1640,0.0,45,20,107,43,24,143,131,849,3225,7684,106,180,203,28188,63866,574,2022-09-13,0.0,5,0,1,0,0.0,0,0,0,6,0.0,0,269,4,2,0,0,0,4,0,0,0,0,0.0,3,0,25,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,2,1,234,0,0,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,839,53,48,461,12.0,345,72,230,25094,1.0,1316,280541,21571,382,35,562,1127,19396,28,1126,97,41,1.0,566,16,23252,77,2849,36,23,718,61,246,13.0,29,4.0,1.0,2112,102,9.0,10.0,3850,7.0,1765,2079,6297,19.0,164,14,381,101,35,2169,194,2353,8204,18491,67,78,646,212565,430421,312355,2022-04-04,1.0,405,20,3,295,0.0,122,44,74,16198,0.0,874,214706,16468,222,0,352,556,14317,5,704,29,13,0.0,253,0,16353,27,1458,12,2,496,30,181,1.0,5,1.0,0.0,1144,39,1.0,3.0,2573,2.0,739,1885,4462,6.0,107,3,169,30,16,1555,121,1388,6576,6890,21,9,389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.0,2577,10,61,289,9.0,145,22,199,13025,4.0,564,146675,23226,202,20,328,590,31422,106,5414,50,15,4.0,751,2,9159,59,1217,6,45,51,23,26,56.0,106,6.0,43.0,1010,73,29.0,25.0,2910,45.0,3200,226,1204,3.0,42,16,150,883,80,27247,131,14918,720,7783,584,21,224,236182,298045,190833,2022-02-24,1.0,824,0,2,117,1.0,45,5,54,6436,3.0,186,95187,15514,96,3,47,241,23000,14,3173,9,1,1.0,344,0,4691,10,718,0,1,35,6,4,1.0,15,4.0,34.0,330,27,1.0,1.0,1731,6.0,1797,102,430,0.0,23,1,20,384,25,25347,25,7608,436,1448,171,3,94,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,143,54,61,103,0.0,107,23,107,2160,0.0,103,25801,1909,100,56,74,161,1907,33,208,75,15,2.0,279,30,1526,40,430,28,28,48,36,39,3.0,11,1.0,2.0,237,40,1.0,25.0,257,4.0,257,111,1467,3.0,37,18,110,76,31,62,72,338,3302,5117,77,107,140,18433,47594,495,2022-12-05,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,105,3,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,2,0,0.0,0,0,0,1,0,0,0,0,0,368,0,0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14.0,1554,53,75,107,7.0,145,15,117,12785,0.0,616,137253,17740,294,84,122,516,13678,89,2498,132,25,1.0,1019,24,5546,65,1183,24,50,66,50,54,30.0,57,16.0,12.0,978,115,38.0,21.0,691,5.0,889,315,3082,7.0,41,42,162,206,53,74210,189,2727,5244,10260,365,95,3669,158844,299545,233157,2022-08-03,9.0,994,2,7,33,4.0,54,3,41,8859,0.0,395,104297,14050,198,6,65,256,11269,20,1659,35,11,0.0,439,0,3693,9,583,2,17,16,7,12,13.0,7,10.0,4.0,554,14,9.0,8.0,405,0.0,371,193,1548,2.0,4,4,55,112,1,73165,74,1968,1988,3596,185,20,1798,2.0,0.0,18.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0
9,5.0,119,36,35,116,0.0,105,20,90,2709,0.0,125,24627,1812,86,52,56,182,1844,35,156,81,6,2.0,219,31,1219,51,357,24,27,37,33,26,7.0,5,2.0,0.0,204,53,0.0,11.0,279,2.0,231,127,1456,0.0,31,54,106,35,33,101,53,792,3130,4498,40,127,185,18050,45887,300,2022-11-03,0.0,0,0,0,1,0.0,0,0,2,4,0.0,0,160,22,0,0,0,0,4,0,1,0,0,0.0,0,0,9,0,11,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,0.0,0,0,0,0,0,0,0,2,0,75,0,0,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
