,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,sd,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,sd_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,hy,hy_dupl,km,km_dupl,ug,ug_dupl,lo,lo_dupl,bo,bo_dupl
0,47.0,734,72,316,226,5.0,300,36.0,277,15234,7.0,1547,225535,9714,171,62,150,2273,15370,122,1094,134,33.0,694,32.0,19154,103,4454,24.0,69,155,38,68,110.0,58.0,3.0,65.0,3152,415,20.0,19.0,1600,4.0,881,261,4307,1.0,95.0,58,91.0,1234,202,83.0,494,122,2172,7363,15757,220,133,698,128049,337868,226381,2022-05-17,36.0,432,5,1,57,0.0,147,14.0,135,9252,0.0,791,163769,4764,26,12,76,1223,11410,0,307,44,7.0,87,0.0,13211,30,1334,2.0,9,85,2,17,1.0,0.0,0.0,0.0,2680,327,3.0,0.0,967,1.0,202,75,2375,0.0,1.0,8,44.0,821,38,0.0,341,14,1140,4123,5450,79,9,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19.0,831,43,67,236,6.0,254,25.0,198,21759,0.0,761,212825,6975,252,53,185,616,14711,85,893,98,26.0,525,27.0,15560,70,2420,44.0,46,42,55,210,13.0,24.0,4.0,3.0,1150,100,12.0,9.0,1785,10.0,832,257,2585,1.0,3.0,60,54.0,401,215,43.0,1028,88,1115,4513,11828,195,126,685,139455,307057,226838,2022-05-03,1.0,461,4,5,91,1.0,121,10.0,58,14457,0.0,509,167643,3991,115,0,113,266,11524,18,411,5,12.0,178,1.0,10259,13,1467,18.0,1,3,13,129,0.0,3.0,2.0,0.0,753,36,1.0,1.0,992,6.0,241,139,1667,0.0,0.0,13,26.0,159,83,1.0,856,18,710,3870,5000,105,12,246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.0,175,30,36,93,2.0,222,13.0,299,7139,0.0,206,135435,3728,196,58,133,368,10762,28,235,90,7.0,326,29.0,10561,64,762,35.0,26,77,147,223,4.0,1.0,12.0,1.0,700,165,1.0,14.0,779,3.0,400,226,3068,1.0,0.0,38,25.0,241,53,34.0,226,73,934,14740,27876,83,67,193,104313,221482,157248,2022-07-29,14.0,62,1,1,29,0.0,122,4.0,218,4171,0.0,90,104935,2017,82,5,81,182,8881,1,95,10,1.0,44,0.0,7814,3,313,6.0,0,42,117,123,0.0,0.0,9.0,0.0,382,105,0.0,12.0,498,1.0,111,100,1938,0.0,0.0,15,7.0,150,9,1.0,144,21,449,11391,12339,45,8,49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11.0,6893,82,306,130,3.0,669,22.0,110,9049,0.0,998,137401,6588,260,97,99,399,9898,72,857,124,7.0,778,19.0,6318,116,2713,31.0,33,68,45,117,115.0,54.0,15.0,45.0,679,135,11.0,24.0,776,5.0,623,309,3765,0.0,68.0,40,35.0,194,230,82.0,417,87,959,9389,15553,222,72,285,105652,218505,141136,2022-07-15,6.0,5238,49,3,32,0.0,432,8.0,19,5195,0.0,616,95111,3523,128,13,39,227,7487,6,207,24,1.0,62,0.0,3860,46,612,6.0,1,12,3,67,0.0,4.0,10.0,1.0,384,20,4.0,7.0,438,0.0,127,83,2778,0.0,1.0,9,0.0,102,9,1.0,329,13,411,7521,5646,78,4,122,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
4,0.0,47,12,5,38,0.0,12,3.0,25,866,0.0,150,15817,4065,23,21,5,18,2264,10,33,9,0.0,114,6.0,2742,12,51,8.0,8,11,5,9,0.0,3.0,0.0,0.0,1207,8,0.0,0.0,64,0.0,135,66,545,0.0,0.0,28,7.0,18,4,16.0,48,12,85,1701,1134,20,83,25,15405,31598,20689,2023-05-06,0.0,29,1,0,11,0.0,0,0.0,7,668,0.0,74,10106,3573,0,7,0,4,2007,1,9,0,0.0,24,0.0,2324,0,11,0.0,0,0,0,0,0.0,2.0,0.0,0.0,1024,0,0.0,0.0,22,0.0,78,35,77,0.0,0.0,17,0.0,3,0,0.0,19,0,25,80,407,15,27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.0,505,41,303,200,13.0,421,24.0,337,11369,0.0,1245,116588,6992,192,54,76,398,18755,151,662,104,22.0,1061,21.0,10879,85,1851,44.0,35,72,50,85,87.0,39.0,8.0,38.0,602,165,3.0,12.0,1048,3.0,622,221,2731,3.0,50.0,57,39.0,216,226,68.0,351,88,3175,3370,8657,172,99,380,91938,195178,124674,2022-07-01,5.0,209,4,4,102,3.0,96,5.0,243,7199,0.0,724,77228,3785,76,1,21,182,15687,50,184,23,7.0,166,0.0,7747,13,519,12.0,0,19,10,43,0.0,0.0,4.0,1.0,279,23,1.0,1.0,656,0.0,174,42,1807,0.0,4.0,17,13.0,82,20,0.0,240,26,2293,2386,2026,58,6,147,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6,0.0,35,8,7,41,0.0,110,4.0,16,880,0.0,101,18289,4189,22,17,4,27,1621,6,26,27,1.0,99,6.0,3414,17,54,5.0,2,12,7,8,0.0,0.0,0.0,1.0,173,15,0.0,0.0,109,0.0,141,106,617,0.0,0.0,14,13.0,32,4,11.0,44,15,112,1672,944,5,144,29,15505,33256,21411,2023-05-12,0.0,11,0,0,7,0.0,81,0.0,0,599,0.0,55,12483,3467,0,0,1,16,1213,0,3,12,0.0,11,0.0,2554,0,13,0.0,0,0,0,0,0.0,0.0,0.0,0.0,98,0,0.0,0.0,67,0.0,63,69,131,0.0,0.0,2,0.0,3,0,0.0,16,0,41,15,334,0,41,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.0,257,50,71,92,0.0,96,13.0,76,3754,0.0,240,28094,2826,91,41,82,188,2781,56,247,56,19.0,303,21.0,1420,64,551,29.0,31,39,37,49,17.0,12.0,2.0,3.0,393,53,5.0,1.0,339,3.0,371,91,1972,1.0,2.0,43,28.0,80,67,33.0,155,66,5256,3130,5985,105,116,618,26651,60625,721,2022-09-26,0.0,1,0,0,0,0.0,0,0.0,0,4,0.0,0,273,6,1,0,0,0,6,0,1,0,0.0,0,0.0,3,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,1,0.0,0.0,0,0.0,0,0,0.0,1,1,49,0,150,0,1,215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,269,42,52,164,6.0,238,9.0,66,9580,1.0,286,74452,7901,125,58,162,239,9080,59,472,62,10.0,365,25.0,6545,53,699,22.0,34,86,42,47,19.0,19.0,9.0,10.0,371,49,10.0,14.0,343,20.0,562,288,1833,1.0,1.0,96,33.0,109,107,55.0,125,78,328,3025,6178,132,171,153,58285,125399,78332,2023-03-28,1.0,73,2,1,60,4.0,156,0.0,19,6845,0.0,156,47469,6188,21,4,112,73,6773,1,189,1,3.0,47,0.0,5248,0,352,0.0,2,10,4,10,0.0,1.0,8.0,3.0,172,5,0.0,0.0,146,5.0,254,174,866,0.0,0.0,60,1.0,15,26,1.0,53,5,108,862,1643,33,47,20,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.0,243,44,63,101,2.0,100,42.0,84,1840,0.0,89,44660,1702,1334,47,114,124,1575,41,760,119,28.0,423,22.0,1013,41,511,31.0,24,82,43,26,10.0,30.0,2.0,5.0,239,64,4.0,13.0,197,1.0,375,107,1089,2.0,1.0,38,31.0,75,64,43.0,128,113,391,2684,7777,86,69,183,41270,69159,560,2022-12-25,0.0,0,0,0,2,0.0,0,0.0,1,16,0.0,0,175,14,5,0,0,1,7,0,0,0,0.0,4,0.0,1,0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,302,0,0,25,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
