weeks,tweetid,tweetid,tweetid,tweetid,tweetid,tweetid
2022-08,1937,23416,15610,24127,25044,3770
2022-09,7020,36303,34568,46127,43664,11247
2022-10,6411,30330,42086,51432,38888,9315
2022-11,6332,23681,35189,43920,32146,8238
2022-12,6683,21091,36581,39781,30139,8362
2022-13,7578,23265,32652,43198,27692,9692
2022-14,6827,22031,34931,42588,25457,8513
2022-15,5616,16948,31253,46697,19790,7156
2022-16,5326,14303,32217,46233,25657,6961
2022-17,4771,22490,38923,47067,20222,7167
2022-18,5407,28858,43487,53269,29777,8466
2022-19,7719,41260,44049,41230,27340,8420
2022-20,13639,26235,32696,33215,22457,9877
2022-21,4041,23476,26039,32722,19906,6385
2022-22,4054,23398,23862,31664,20666,6150
2022-23,4885,22064,20584,26884,17404,6300
2022-24,3469,20425,22600,30042,24856,5712
2022-25,3780,19742,21791,30568,17189,5685
2022-26,6655,21811,21285,28634,18377,6058
2022-27,3598,17338,14530,25578,13055,5071
2022-28,7824,19490,16720,24900,13519,5467
2022-29,4830,13353,16178,21752,12391,5084
2022-30,10373,12203,13743,20010,12704,5327
2022-31,22915,17876,12673,19213,15910,10216
2022-32,21921,10724,9274,14915,11659,10577
2022-33,23967,12147,13198,20406,15089,11525
2022-34,24063,13796,15413,22278,18489,9797
2022-35,22144,13650,16447,22347,17993,10429
2022-36,23021,16030,20890,26056,20160,11358
2022-37,22692,16283,17308,29144,18485,11083
2022-38,23158,22382,23603,36669,27030,13831
2022-39,22623,19565,21603,46705,29104,13892
2022-40,24388,18901,22323,29580,23589,13692
2022-41,30021,22716,22592,29860,27438,14562
2022-42,26911,16773,21971,21491,18139,11999
2022-43,21301,16964,11541,21483,15875,10073
2022-44,21900,11403,10846,18036,12575,9673
2022-45,23368,14097,11078,14978,14042,10637
2022-46,25137,19022,18621,22805,19492,10226
2022-47,22303,31143,11497,17203,19164,9528
2022-48,20816,21189,9772,15296,13243,9203
2022-49,21623,11396,8538,12936,12241,9253
2022-50,22109,17354,9007,13432,13357,8723
2022-51,19125,12946,9661,15130,13605,7932
2022-52,16816,10436,7544,12935,12034,6683
2023-01,17121,9990,7517,17020,13655,7361
2023-02,19094,15056,10123,17579,12525,7827
2023-03,17319,11792,11272,30517,15390,8191
2023-04,17443,12788,19182,38395,21464,7819
2023-05,17012,9364,11096,20726,14569,7233
2023-06,17414,15368,79898,23900,21449,8442
2023-07,16696,12764,14488,25520,17431,7649
2023-08,18785,29845,26571,52779,31167,8904
2023-09,17498,12729,9778,21669,14277,7689
2023-10,17746,11249,9505,18495,13451,7136
2023-11,15867,16393,11206,18217,15196,6969
2023-12,14536,13904,11498,16924,14029,6533
2023-13,14741,11693,7965,15397,11940,6192
2023-14,13024,10979,7945,15905,10761,5413
2023-15,13781,10719,6567,12829,9576,6392
2023-16,11384,8508,5256,8659,7354,5287
2023-17,10105,4140,4000,1992,2505,3369
2023-18,11498,4784,3589,1548,1913,3282
2023-19,12238,4571,8210,1545,2683,3350
2023-20,12689,4846,5043,1508,3632,3564
2023-21,12095,3720,2944,835,1299,2858
2023-22,8466,3348,2658,2305,1984,2805
2023-23,4338,7095,5693,9856,7149,4036
2023-24,959,7500,11358,4845,3565,1915
2023-52,2564,1008,1227,1982,2202,1008
