weeks,language,len
2022-08,de,215.4920983943684
2022-08,en,190.21870751208795
2022-08,es,194.7757916377423
2022-08,fr,181.07030867986558
2022-08,it,199.11792818048323
2022-08,ru,185.65740600936132
2022-08,uk,184.70733944954128
2022-09,de,224.02779555843392
2022-09,en,200.08056671909335
2022-09,es,211.14119079964397
2022-09,fr,214.68246006313373
2022-09,it,209.03939127724092
2022-09,ru,175.38508025212815
2022-09,uk,177.86354705274044
2022-10,de,227.4583011714881
2022-10,en,208.23953770631002
2022-10,es,213.94239912925585
2022-10,fr,223.74429038508114
2022-10,it,211.9093339580778
2022-10,ru,189.10699248416165
2022-10,uk,199.9116195024362
2022-11,de,232.06246742998377
2022-11,en,212.2717185928721
2022-11,es,219.41661513090085
2022-11,fr,221.74685674189485
2022-11,it,215.572349198104
2022-11,ru,189.8224106221684
2022-11,uk,200.10240143063953
2022-12,de,227.74218539091453
2022-12,en,212.71501127521688
2022-12,es,218.03725568065946
2022-12,fr,225.92288126971206
2022-12,it,214.93651439464148
2022-12,ru,196.5736908403815
2022-12,uk,196.892713543199
2022-13,de,231.4355499020382
2022-13,en,215.00289300466062
2022-13,es,213.74765507692908
2022-13,fr,227.76052909122868
2022-13,it,216.31131194047597
2022-13,ru,188.21651757982357
2022-13,uk,204.96356923394697
2022-14,de,232.92288555509106
2022-14,en,222.08545321353597
2022-14,es,222.08812341333245
2022-14,fr,230.2775638652351
2022-14,it,218.74997324940992
2022-14,ru,232.3916729370454
2022-14,uk,204.17082266253314
2022-15,de,226.65898897663195
2022-15,en,218.5952964599017
2022-15,es,225.2909851858195
2022-15,fr,232.42725399973045
2022-15,it,211.5394298407997
2022-15,ru,198.883315546069
2022-15,uk,212.41283676703645
2022-16,de,227.76392028318844
2022-16,en,223.85123412772597
2022-16,es,222.31912253989736
2022-16,fr,215.44026098260935
2022-16,it,212.93693808726218
2022-16,ru,208.67269881265986
2022-16,uk,223.47730304903843
2022-17,de,229.2444389846353
2022-17,en,218.843051768719
2022-17,es,215.08448004159018
2022-17,fr,225.1799795059542
2022-17,it,213.90298444583004
2022-17,ru,196.86123507161375
2022-17,uk,205.91722056844594
2022-18,de,226.5535105299471
2022-18,en,213.99096826792015
2022-18,es,216.17532136947943
2022-18,fr,222.52387182275385
2022-18,it,214.3077475109157
2022-18,ru,196.73107330067887
2022-18,uk,218.8881250221482
2022-19,de,219.11430078657082
2022-19,en,212.68594254754635
2022-19,es,167.67919117413282
2022-19,fr,213.39673117958944
2022-19,it,199.2219017798286
2022-19,ru,179.0155377314912
2022-19,uk,197.93384065339325
2022-20,de,222.21927397037277
2022-20,en,221.5535908692646
2022-20,es,207.0397638231523
2022-20,fr,219.8986756109661
2022-20,it,208.2663633795408
2022-20,ru,180.80112978654444
2022-20,uk,175.46109687592391
2022-21,de,226.70428251388003
2022-21,en,213.3342326771565
2022-21,es,212.83599304482226
2022-21,fr,220.4870157841297
2022-21,it,214.0075314636805
2022-21,ru,196.28369547003297
2022-21,uk,197.07592281879195
2022-22,de,225.2618052330082
2022-22,en,217.39797189892383
2022-22,es,210.40070776067813
2022-22,fr,221.33760763090632
2022-22,it,218.94770898915704
2022-22,ru,171.43991829813473
2022-22,uk,211.8484187568157
2022-23,de,224.06515205091938
2022-23,en,222.61601877738866
2022-23,es,223.38383094532938
2022-23,fr,224.17015313627425
2022-23,it,216.8849315514463
2022-23,ru,192.26513652552433
2022-23,uk,193.88223064693653
