,word,count
0,ukraine,2383307
1,russian,2240223
2,ukrainian,1300100
3,have,1109914
4,say,950223
5,do,891200
6,go,789076
7,ukrainewar,591737
8,see,577430
9,new,559998
10,make,545589
11,more,522115
12,take,502888
13,get,492710
14,know,489774
15,good,478613
16,want,474165
17,give,471772
18,ukrainerussiawar,466562
19,be,422110
20,military,421972
21,need,421095
22,come,403087
23,use,384613
24,help,379282
25,think,370156
26,stop,369986
27,kill,369608
28,standwithukraine,363749
29,support,336306
30,destroy,330703
31,russiaisaterroriststate,321994
32,send,316541
33,other,293887
34,first,292714
35,continue,271465
36,last,264610
37,look,263422
38,leave,258596
39,live,255622
40,show,249053
41,call,245664
42,nuclear,242408
43,let,240807
44,find,240440
45,fight,238760
46,start,231449
47,great,229301
48,many,223742
49,lose,223427
50,break,223031
51,kyiv,217757
52,die,210801
53,own,204202
54,ask,203747
55,read,202081
56,big,201062
57,-,198346
58,win,198066
59,try,197930
60,work,197373
61,happen,196872
62,tell,194658
63,stand,189577
64,put,188507
65,believe,188302
66,international,186827
67,keep,184250
68,free,183843
69,pay,182044
70,russia,178173
71,watch,175221
72,speak,171372
73,become,167051
74,join,166987
75,russiaukrainewar,166945
76,hold,166705
77,same,166318
78,hit,165770
79,follow,165641
80,thank,164951
81,western,164303
82,report,159973
83,bring,158046
84,high,154170
85,understand,153627
86,next,148931
87,attack,148264
88,talk,147206
89,bad,145998
90,full,145383
91,save,142802
92,armed,142352
93,german,136926
94,mean,135215
95,seem,135075
96,love,134841
97,bakhmut,134781
98,buy,134601
99,include,131322
100,old,130722
101,european,130036
102,meet,129945
103,lead,129407
104,american,128794
105,end,128761
106,hear,128500
107,global,127916
108,hope,127208
109,open,126981
110,real,126853
111,defend,122189
112,wait,121698
113,provide,121636
114,stay,119660
115,right,119269
116,allow,119219
117,to have,119088
118,begin,118536
119,close,118434
120,long,117383
121,feel,117329
122,run,116969
123,create,116769
124,large,116404
125,happy,116082
126,putinwarcriminal,115726
127,write,115578
128,play,115087
129,fall,114501
130,special,113397
131,announce,112829
132,shoot,112485
133,late,112313
134,important,112162
135,true,112010
136,arrive,110455
137,receive,110053
138,strong,108609
139,ukrainerussianwar,107802
140,change,106826
141,possible,105603
142,remember,105594
143,forget,105582
144,foreign,105023
145,chinese,103066
146,dead,98787
147,only,98571
148,protect,97165
149,human,97139
150,black,97027
151,remain,96880
152,be born,96594
153,pass,95872
154,learn,95765
155,like,95487
156,vote,95184
157,turn,93010
158,invade,92848
159,to do,92419
160,sell,92334
161,clear,92265
162,accord,91685
163,visit,91636
164,prepare,91617
165,to be,90982
166,humanitarian,90892
167,national,89768
168,ukraineunderattack,89713
169,share,88853
170,ready,88801
171,check,88718
172,lie,88141
173,set,88140
174,to say,87995
175,little,87634
176,occupy,87020
177,move,86853
178,return,86080
179,political,85292
180,bomb,84764
181,economic,84641
182,anti,84111
183,increase,83613
184,explain,83054
185,threaten,82926
186,commit,82413
187,consider,81809
188,decide,81739
189,launch,81657
190,former,81224
191,second,79786
192,terrorist,79753
193,much,79511
194,claim,79457
195,stopputinnow,79221
196,discuss,78210
197,safe,78116
198,slavaukraini,77460
199,wear,76640
200,warn,76548
201,build,76431
202,such,76200
203,carry,76112
204,agree,75791
205,listen,75433
206,expect,75266
207,small,74929
208,capture,74139
209,finish,74100
210,fail,74020
211,confirm,73616
212,criminal,73572
213,civil,73486
214,cause,73351
215,well,73306
216,suffer,73117
217,add,73103
218,zelensky,72852
219,shell,71989
220,crypto,71962
221,donate,71846
222,enter,71772
223,few,71377
224,azovstal,70806
225,sure,69915
226,current,69868
227,flee,69722
228,social,69436
229,force,69277
230,trend,69274
231,deliver,69052
232,power,68382
233,general,68089
234,offer,67972
235,top,67890
236,face,67820
237,whole,67189
238,beautiful,67089
239,raise,67005
240,nazi,66931
241,reach,66830
242,sharious,65822
243,be able,65663
244,all,65647
245,sign,64919
246,wish,64682
247,plan,63436
248,local,63198
249,most,63105
250,miss,62893
251,care,62879
252,push,62723
253,grow,62530
254,demand,62377
255,supply,61901
256,french,61645
257,fire,61326
258,innocent,61094
259,sweden,60295
260,burn,60285
261,cut,60040
262,release,59937
263,choose,59763
264,fly,59586
265,heavy,59481
266,major,59185
267,different,58998
268,wrong,58663
269,fake,58579
270,act,58202
271,celebrate,58199
272,refuse,58144
273,white,58021
274,ukrainewillwin,57948
275,serve,57873
276,condemn,57754
277,accept,57668
278,difficult,57653
279,ban,57544
280,steal,57092
281,biden,57051
282,throw,56836
283,welcome,56721
284,declare,56442
285,amazing,56232
286,hate,56119
287,drive,55977
288,british,55638
289,young,55484
290,public,55476
291,seek,55278
292,hide,54887
293,target,54882
294,direct,54551
295,low,53729
296,interesting,53644
297,necessary,53511
298,complete,53462
299,dear,53259
300,post,53181
301,remove,53085
302,huge,52984
303,hard,52960
304,financial,52866
305,brave,52664
306,entire,52534
307,able,52120
308,defeat,51802
309,invest,51555
310,russiaisaterrorisstate,51521
311,total,51507
312,putinisawarcriminal,51501
313,donetsk,51270
314,civilian,51235
315,poor,50971
316,blame,50949
317,trump,50919
318,publish,50905
319,injure,50875
320,russianukrainianwar,50823
321,poutin,50634
322,sit,50614
323,spread,50358
324,ukrainar,49977
325,pro,49736
326,covid,49671
327,massive,49591
328,appear,49466
329,enjoy,49196
330,corrupt,49169
331,official,48799
332,short,48785
333,spend,48719
334,base,48707
335,imagine,48585
336,serious,48582
337,red,48354
338,enough,48151
339,freeshippe,48143
340,strategic,48141
341,russiaislose,48003
342,rise,47939
343,avoid,47676
344,luhansk,47341
345,recognize,47014
346,deserve,46766
347,murder,46608
348,pray,46522
349,duty,46504
350,least,46212
351,main,46097
352,apply,46027
353,to want,45889
354,prove,45491
355,negotiate,45349
356,pull,45321
357,block,45120
358,bitcoin,45021
359,italian,44991
360,available,44827
361,dangerous,44429
362,reveal,44262
363,wonder,44184
364,evil,44028
365,present,44004
366,peaceful,43967
367,place,43957
368,several,43784
369,control,43624
370,illegal,43578
371,drop,43256
