,uk,es,it,de,en,fr,ru
in,382409.0,713360.0,431263.0,911265.0,5373732.0,666037.0,103.0
i,235841.0,59957.0,27741.0,184011.0,1679964.0,95057.0,38709.0
on,252016.0,2760.0,73899.0,252903.0,2258170.0,182612.0,100073.0
with,183369.0,206706.0,199146.0,320656.0,1686997.0,121846.0,64780.0
it,145479.0,0.0,2280.0,310071.0,1928312.0,674.0,1071.0
ukraine,133836.0,502869.0,304408.0,817346.0,5533519.0,624443.0,108753.0
by,97993.0,226738.0,2620.0,3822.0,1191059.0,137921.0,38645.0
you,125466.0,36643.0,72129.0,81776.0,1854271.0,113049.0,40694.0
to,72579.0,604733.0,509600.0,228086.0,2452690.0,1574.0,18867.0
we,68336.0,419.0,27703.0,162301.0,1702940.0,180461.0,12512.0
they,65481.0,164.0,14903.0,262.0,1438593.0,141.0,12393.0
yes,67209.0,491.0,191682.0,50529.0,73807.0,10784.0,285.0
be,60009.0,19668.0,315.0,1361.0,287531.0,43900.0,15573.0
about,56007.0,52969.0,4863.0,203.0,646612.0,5550.0,10222.0
he,54152.0,413335.0,19146.0,122662.0,873733.0,246775.0,10893.0
more,72678.0,434.0,94162.0,76817.0,739972.0,100455.0,24206.0
!,48470.0,1541.0,1207.0,0.0,14281.0,0.0,0.0
already,49028.0,44169.0,28056.0,89146.0,122266.0,16271.0,13759.0
for,47815.0,189932.0,352788.0,320693.0,2695053.0,270171.0,21506.0
be able,50347.0,0.0,0.0,0.0,0.0,0.0,17539.0
from,57904.0,38165.0,182982.0,381447.0,1357145.0,581.0,57483.0
all,46193.0,24222.0,72992.0,82815.0,398019.0,90475.0,12751.0
war,39114.0,139976.0,210765.0,187500.0,1506919.0,189689.0,35595.0
when,34454.0,2592.0,931.0,8369.0,0.0,2240.0,1342.0
that,34259.0,276088.0,357680.0,697.0,818227.0,106818.0,13997.0
day,33839.0,50309.0,33340.0,34113.0,442453.0,30449.0,13577.0
very,32779.0,0.0,21319.0,35755.0,189370.0,22356.0,6204.0
have,32435.0,70227.0,93274.0,59409.0,854200.0,0.0,2824.0
she,31895.0,0.0,9700.0,221543.0,170606.0,0.0,3994.0
russia,41051.0,416959.0,261912.0,380200.0,3439107.0,330062.0,73607.0
man,38737.0,8146.0,13677.0,141918.0,191235.0,14476.0,2807.0
who,29487.0,20398.0,54909.0,80031.0,598871.0,187079.0,12852.0
russian,48445.0,170542.0,168489.0,188696.0,1791950.0,179358.0,49175.0
there,30567.0,6288.0,147161.0,81457.0,465366.0,21471.0,8944.0
what,30809.0,0.0,50379.0,111851.0,720910.0,18454.0,21995.0
want,27370.0,28374.0,28845.0,12753.0,363585.0,1511.0,12843.0
union,27102.0,6451.0,4711.0,3606.0,41164.0,7582.0,698.0
himself,26103.0,0.0,0.0,33146.0,28681.0,1704.0,1458.0
ukrainian,45119.0,82297.0,247834.0,71988.0,1129600.0,121212.0,23258.0
time,40804.0,31439.0,35579.0,29846.0,422694.0,21025.0,8419.0
know,24039.0,25652.0,38907.0,8394.0,364802.0,23972.0,7153.0
year,23792.0,38902.0,45689.0,48651.0,356598.0,38080.0,15174.0
need,25918.0,9139.0,8115.0,31877.0,439211.0,9342.0,546.0
today,25329.0,38127.0,42801.0,55182.0,337389.0,853.0,6617.0
thank,23600.0,2012.0,200.0,0.0,223165.0,1936.0,230.0
as,21743.0,13856.0,85299.0,120167.0,706244.0,47362.0,0.0
now,36952.0,33606.0,64165.0,95098.0,646674.0,13925.0,12007.0
under,20633.0,164.0,16489.0,34101.0,157169.0,116.0,9691.0
