,uk,es,it,de,en,fr,ru
ukraine,133237.0,493157.0,179810.0,514876.0,3642003.0,564157.0,107804.0
!,48470.0,1537.0,1198.0,0.0,14246.0,0.0,0.0
war,36276.0,139446.0,210519.0,186526.0,1493154.0,189109.0,33102.0
day,33942.0,49979.0,33087.0,33982.0,442336.0,30125.0,13577.0
russia,41379.0,416183.0,196545.0,346282.0,3436323.0,254898.0,73531.0
man,38857.0,8123.0,13665.0,15979.0,189575.0,14296.0,2807.0
union,27134.0,6431.0,4755.0,3601.0,41065.0,7401.0,698.0
time,40431.0,31365.0,35539.0,29968.0,421591.0,19238.0,8452.0
year,23891.0,38970.0,45673.0,48637.0,356491.0,37942.0,15174.0
life,17793.0,13470.0,12713.0,13075.0,220401.0,11938.0,11414.0
country,16919.0,58146.0,82.0,81412.0,532678.0,55736.0,0.0
city,16304.0,28749.0,18589.0,17835.0,243701.0,23209.0,8957.0
glory,15467.0,2035.0,940.0,0.0,39449.0,788.0,2790.0
ukrainian,17993.0,17293.0,11249.0,3350.0,312980.0,47279.0,6710.0
people,24460.0,11134.0,34765.0,32242.0,771591.0,35104.0,5018.0
baby,15083.0,1254.0,2138.0,0.0,38907.0,970.0,360.0
russian,16357.0,17011.0,45336.0,48559.0,136801.0,81011.0,9091.0
world,13897.0,50140.0,46904.0,37457.0,614006.0,37067.0,11627.0
russian woman,13382.0,0.0,0.0,0.0,0.0,0.0,114.0
occupant,12362.0,661.0,1238.0,132.0,5455.0,1935.0,13701.0
kyiv,13806.0,45904.0,7131.0,29473.0,159512.0,51323.0,11277.0
news,11900.0,65985.0,79990.0,12779.0,1068596.0,4527.0,17381.0
rocket,11602.0,2747.0,2282.0,9045.0,60863.0,2360.0,7441.0
region,13394.0,20154.0,13574.0,15993.0,224896.0,19539.0,19765.0
work,12364.0,1222.0,12199.0,4878.0,105067.0,5608.0,350.0
power,14916.0,3631.0,10133.0,9173.0,176739.0,9848.0,3745.0
photo,15830.0,7777.0,9161.0,4189.0,83636.0,7718.0,8688.0
word,10015.0,5598.0,15723.0,14342.0,86330.0,5558.0,3852.0
