,coherence,diversity,score,topic,eval
0,-0.18723522447594257,0.75,0.8,hdbscan_model_labse_text_embeddings,translated_nouns_adjs_verbs
1,-0.2113480146952315,0.82,0.8,hdbscan_model_labse_text_embeddings,nouns_adjs_verbs
2,-0.16069350794777598,0.76,0.8,hdbscan_model_labse_text_embeddings,translated_stop_word_removed_lemmas
3,-0.1839275719045361,0.82,0.8,hdbscan_model_labse_text_embeddings,stop_word_removed_lemmas
4,-0.16811882193522112,0.7,0.78,hdbscan_model_parahprase_min_text_embeddings,translated_nouns_adjs_verbs
5,-0.19942052258636506,0.82,0.78,hdbscan_model_parahprase_min_text_embeddings,nouns_adjs_verbs
6,-0.1568868467342776,0.715,0.78,hdbscan_model_parahprase_min_text_embeddings,translated_stop_word_removed_lemmas
7,-0.19803736133379962,0.825,0.78,hdbscan_model_parahprase_min_text_embeddings,stop_word_removed_lemmas
8,-0.17550641024407151,0.745,0.78,hdbscan_model_parahprase_max_text_embeddings,translated_nouns_adjs_verbs
9,-0.19056683909223562,0.82,0.78,hdbscan_model_parahprase_max_text_embeddings,nouns_adjs_verbs
10,-0.16272655531528152,0.755,0.78,hdbscan_model_parahprase_max_text_embeddings,translated_stop_word_removed_lemmas
11,-0.18641875802280092,0.83,0.78,hdbscan_model_parahprase_max_text_embeddings,stop_word_removed_lemmas
12,-0.3336621085815151,0.665,0.35,hdbscan_eng_model_text_embeddings,translated_nouns_adjs_verbs
13,-0.21821684516523177,0.735,0.35,hdbscan_eng_model_text_embeddings,nouns_adjs_verbs
14,-0.34461465610029024,0.68,0.35,hdbscan_eng_model_text_embeddings,translated_stop_word_removed_lemmas
15,-0.21096123856101912,0.755,0.35,hdbscan_eng_model_text_embeddings,stop_word_removed_lemmas
16,-0.18178261894128167,0.725,0.77,hdbscan_model_labse_translated_embeddings,translated_nouns_adjs_verbs
17,-0.20648688994031125,0.8,0.77,hdbscan_model_labse_translated_embeddings,nouns_adjs_verbs
18,-0.16288010476494713,0.73,0.77,hdbscan_model_labse_translated_embeddings,translated_stop_word_removed_lemmas
19,-0.20109735104465684,0.825,0.77,hdbscan_model_labse_translated_embeddings,stop_word_removed_lemmas
20,-0.18887064057843,0.745,0.85,hdbscan_model_parahprase_min_translated_embeddings,translated_nouns_adjs_verbs
21,-0.17636035800640154,0.835,0.85,hdbscan_model_parahprase_min_translated_embeddings,nouns_adjs_verbs
22,-0.1719569822381425,0.775,0.85,hdbscan_model_parahprase_min_translated_embeddings,translated_stop_word_removed_lemmas
23,-0.16267110021625275,0.84,0.85,hdbscan_model_parahprase_min_translated_embeddings,stop_word_removed_lemmas
24,-0.2078991787514819,0.75,0.86,hdbscan_model_parahprase_max_translated_embeddings,translated_nouns_adjs_verbs
25,-0.48979004928345643,0.8,0.86,hdbscan_model_parahprase_max_translated_embeddings,nouns_adjs_verbs
26,-0.18196644373216905,0.765,0.86,hdbscan_model_parahprase_max_translated_embeddings,translated_stop_word_removed_lemmas
27,-0.15346227269588814,0.81,0.86,hdbscan_model_parahprase_max_translated_embeddings,stop_word_removed_lemmas
28,-0.18229944976974782,0.74,0.82,hdbscan_eng_model_translated_embeddings,translated_nouns_adjs_verbs
29,-0.18102714627456293,0.81,0.82,hdbscan_eng_model_translated_embeddings,nouns_adjs_verbs
30,-0.1846372306118262,0.76,0.82,hdbscan_eng_model_translated_embeddings,translated_stop_word_removed_lemmas
31,-0.15219623669741522,0.82,0.82,hdbscan_eng_model_translated_embeddings,stop_word_removed_lemmas
32,-0.17220016608107672,0.6875,0.81,hdbscan_model_labse_cleaned_text_translated_embeddings,translated_nouns_adjs_verbs
33,-0.17719444132080375,0.79375,0.81,hdbscan_model_labse_cleaned_text_translated_embeddings,nouns_adjs_verbs
34,-0.15323302612832082,0.7125,0.81,hdbscan_model_labse_cleaned_text_translated_embeddings,translated_stop_word_removed_lemmas
35,-0.1652955231541837,0.8,0.81,hdbscan_model_labse_cleaned_text_translated_embeddings,stop_word_removed_lemmas
36,-0.17588239787537188,0.765,0.83,hdbscan_model_parahprase_min_cleaned_text_translated_embeddings,translated_nouns_adjs_verbs
37,-0.1848853225036629,0.815,0.83,hdbscan_model_parahprase_min_cleaned_text_translated_embeddings,nouns_adjs_verbs
38,-0.16737681751269223,0.775,0.83,hdbscan_model_parahprase_min_cleaned_text_translated_embeddings,translated_stop_word_removed_lemmas
39,-0.1628119628844014,0.835,0.83,hdbscan_model_parahprase_min_cleaned_text_translated_embeddings,stop_word_removed_lemmas
40,-0.18512624596496427,0.76,0.86,hdbscan_model_parahprase_max_cleaned_text_translated_embeddings,translated_nouns_adjs_verbs
41,-0.14758731811385287,0.8,0.86,hdbscan_model_parahprase_max_cleaned_text_translated_embeddings,nouns_adjs_verbs
42,-0.16989406998457363,0.78,0.86,hdbscan_model_parahprase_max_cleaned_text_translated_embeddings,translated_stop_word_removed_lemmas
43,-0.12126550915553924,0.81,0.86,hdbscan_model_parahprase_max_cleaned_text_translated_embeddings,stop_word_removed_lemmas
44,-0.18789024097094806,0.74375,0.85,hdbscan_eng_model_cleaned_text_translated_embeddings,translated_nouns_adjs_verbs
45,-0.16295813011608115,0.76875,0.85,hdbscan_eng_model_cleaned_text_translated_embeddings,nouns_adjs_verbs
46,-0.17181880033975225,0.76875,0.85,hdbscan_eng_model_cleaned_text_translated_embeddings,translated_stop_word_removed_lemmas
47,-0.16143114777623782,0.8,0.85,hdbscan_eng_model_cleaned_text_translated_embeddings,stop_word_removed_lemmas
48,-0.19410675485500908,0.73,0.74,hdbscan_model_labse_cleaned_text_embeddings,translated_nouns_adjs_verbs
49,-0.2063979635303101,0.805,0.74,hdbscan_model_labse_cleaned_text_embeddings,nouns_adjs_verbs
50,-0.15794327169785727,0.73,0.74,hdbscan_model_labse_cleaned_text_embeddings,translated_stop_word_removed_lemmas
51,-0.1915746929628759,0.825,0.74,hdbscan_model_labse_cleaned_text_embeddings,stop_word_removed_lemmas
52,-0.3506690205917177,0.65,0.71,hdbscan_model_parahprase_min_cleaned_text_embeddings,translated_nouns_adjs_verbs
53,-0.4512862584499886,0.715,0.71,hdbscan_model_parahprase_min_cleaned_text_embeddings,nouns_adjs_verbs
54,-0.3498979051977262,0.645,0.71,hdbscan_model_parahprase_min_cleaned_text_embeddings,translated_stop_word_removed_lemmas
55,-0.44641658373123744,0.74,0.71,hdbscan_model_parahprase_min_cleaned_text_embeddings,stop_word_removed_lemmas
56,-0.17524935099308053,0.735,0.82,hdbscan_model_parahprase_max_cleaned_text_embeddings,translated_nouns_adjs_verbs
57,-0.20554180188703838,0.805,0.82,hdbscan_model_parahprase_max_cleaned_text_embeddings,nouns_adjs_verbs
58,-0.15780530209887347,0.74,0.82,hdbscan_model_parahprase_max_cleaned_text_embeddings,translated_stop_word_removed_lemmas
59,-0.19633514453101542,0.82,0.82,hdbscan_model_parahprase_max_cleaned_text_embeddings,stop_word_removed_lemmas
