,Unnamed: 0.1,Unnamed: 0,text,translated,tweetcreatedts,tweetid,week,cleaned_text_translated,cleaned_text,lemmas,adjs_verbs,nouns,entities,emojis,translated_lemmas,translated_adjs_verbs,translated_nouns,translated_entities,translated_emojis,lang,topics,Unnamed: 21,topics_robin
124,124,124,#UkraineKrieg: Die #EU-#Sanktionen gegen #Russland im Überblick #UkraineRussiaWar #UkraineRussiaCrisis @merkur_de https://t.co/0KUd3lSfFn,#UkraineWar: The #EU #sanctions against #Russia at a glance #UkraineRussiaWar #UkraineRussiaCrisis @merkur_de https://t.co/0KUd3lSfFn,2022-02-28 11:13:37,1498255060215767040,2022-09,ukrainewar: the  eu  sanctions against  russia at a glance  ukrainerussiawar  ukrainerussiacrisis,ukrainekrieg: die  eusanktionen gegen  russland im überblick  ukrainerussiawar  ukrainerussiacrisis,"['Ukrainekrieg', 'eusanktionen', 'gegen', 'Russland', 'in', 'Überblick', 'Ukrainerussiawar', 'Ukrainerussiacrisis']",[''],"['Ukrainekrieg', 'eusanktionen', 'Russland', 'Überblick', 'Ukrainerussiacrisis']",['russland/LOC'],[''],"['ukrainewar', 'eu', 'sanction', 'against', 'russia', 'at', 'glance', 'ukrainerussiawar', 'ukrainerussiacrisis']","['ukrainewar', 'ukrainerussiawar']","['eu', 'sanction', 'russia', 'glance', 'ukrainerussiacrisis']",['russia/GPE'],[''],de,sanctions,,
136,136,136,"Vogt-Wuchter: ""Wir sind schockiert über den Krieg in der Ukraine - mitten in Europa - den Russland völkerrechtswidrig gegen sein Nachbarland angezettelt hat"".
Zivilist*innen sind Leidtragende des Konflikts. Hunderttausende fliehen.
Stellungnahme: https://t.co/rZWWGDFiTX
#ukraine https://t.co/MHxIOoMXjK","Vogt-Wuchter: ""We are shocked by the war in Ukraine - in the middle of Europe - which Russia launched against its neighboring country in violation of international law.""
Civilians are victims of the conflict. Hundreds of thousands are fleeing.
Statement: https://t.co/rZWWGDFiTX
#ukraine https://t.co/MHxIOoMXjK",2022-03-01 09:00:11,1498583868449776128,2022-09,"vogt-wuchter: ""we are shocked by the war in ukraine in the middle of europe which russia launched against its neighboring country in violation of international law."" civilians are victims of the conflict. hundreds of thousands are fleeing. statement:    ukraine","vogt-wuchter: ""wir sind schockiert über den krieg in der ukraine mitten in europa den russland völkerrechtswidrig gegen sein nachbarland angezettelt hat"". zivilist*innen sind leidtragende des konflikts. hunderttausende fliehen. stellungnahme:    ukraine","['vogt-wuchter', 'wir', 'schockiert', 'über', 'Krieg', 'in', 'Ukraine', 'mitten', 'in', 'Europa', 'Russland', 'völkerrechtswidrig', 'gegen', 'Nachbarland', 'anzetteln', 'Zivilist*inn', 'Leidtragende', 'Konflikt', 'Hunderttausend', 'fliehen', 'Stellungnahme', 'ukrain']","['anzetteln', 'fliehen', 'ukrain']","['vogt-wuchter', 'Krieg', 'Ukraine', 'Europa', 'Russland', 'Nachbarland', 'Zivilist*inn', 'Leidtragende', 'Konflikt', 'Hunderttausend', 'Stellungnahme']","['vogt-wuchter/LOC', 'ukraine/LOC', 'europa/LOC', 'russland/LOC']",[''],"['vogt', 'wuchter', 'we', 'shock', 'by', 'war', 'in', 'ukraine', 'in', 'middle', 'of', 'europe', 'which', 'russia', 'launch', 'against', 'its', 'neighboring', 'country', 'in', 'violation', 'of', 'international', 'law', 'civilian', 'victim', 'of', 'conflict', 'hundred', 'of', 'thousand', 'flee', 'statement', 'ukraine']","['vogt', 'shock', 'launch', 'international', 'flee', 'ukraine']","['wuchter', 'war', 'ukraine', 'middle', 'europe', 'russia', 'neighboring', 'country', 'violation', 'law', 'civilian', 'victim', 'conflict', 'hundred', 'thousand', 'statement']","['europe/LOC', 'russia/GPE']",[''],de,unjustified_war,,
144,144,144,"Hat #Putin darauf spekuliert, dass die #Ampel-Koalition aufgrund der schlechten Erfahrungen mit der letzten grünen Regierung sich nicht auf einen Waffen-Export einigen kann? Dann wurde er falsch beraten. #Baerbock will die Politik von Joschka Fischer ausdrücklich fortsetzen.",Did #Putin speculate that the #traffic light coalition would not be able to agree on arms exports due to the bad experiences with the last green government? Then he was given wrong advice. #Baerbock expressly wants to continue Joschka Fischer's politics.,2022-03-03 22:58:49,1499519694998494976,2022-09,did  putin speculate that the  traffic light coalition would not be able to agree on arms exports due to the bad experiences with the last green government? then he was given wrong advice.  baerbock expressly wants to continue joschka fischer's politics.,"hat  putin darauf spekuliert, dass die  ampel-koalition aufgrund der schlechten erfahrungen mit der letzten grünen regierung sich nicht auf einen waffen-export einigen kann? dann wurde er falsch beraten.  baerbock will die politik von joschka fischer ausdrücklich fortsetzen.","['Putin', 'darauf', 'spekulieren', 'ampel-koalition', 'aufgrund', 'schlecht', 'Erfahrung', 'mit', 'letzter', 'grün', 'Regierung', 'sich', 'auf', 'waffen-export', 'einigen', 'dann', 'er', 'falsch', 'beraten', 'Baerbock', 'Politik', 'von', 'Joschka', 'Fischer', 'ausdrücklich', 'fortsetzen']","['spekulieren', 'schlecht', 'letzter', 'grün', 'einigen', 'beraten', 'fortsetzen']","['Putin', 'ampel-koalition', 'Erfahrung', 'Regierung', 'waffen-export', 'Baerbock', 'Politik', 'Joschka', 'Fischer']","['putin/ORG', 'ampel-koalition/LOC', 'joschka_fischer/PER']",[''],"['putin', 'speculate', 'traffic', 'light', 'coalition', 'able', 'agree', 'on', 'arm', 'export', 'due', 'to', 'bad', 'experience', 'with', 'last', 'green', 'government', 'then', 'he', 'give', 'wrong', 'advice', 'baerbock', 'expressly', 'want', 'continue', 'joschka', 'fischer', 'politic']","['speculate', 'able', 'agree', 'bad', 'last', 'green', 'give', 'wrong', 'want', 'continue']","['putin', 'traffic', 'light', 'coalition', 'arm', 'export', 'experience', 'government', 'advice', 'baerbock', 'joschka', 'fischer', 'politic']",['putin/PERSON'],[''],de,arms_delivery,,
156,156,156,"Das Innenministerium der #Ukraine meldete am Sonntagabend 352 getötete Zivilisten seit dem Angriff Russlands auf die Ukraine, darunter 14 Kinder.
Weiterhin werden 1684 verwundete Menschen gezählt, darunter 116 Kinder.

#FCKPTN #Waffen #UkraineKrieg #PutinsWar #Belarus #Putin","The Interior Ministry of #Ukraine reported on Sunday evening 352 civilians killed since Russia's attack on Ukraine, including 14 children.
A further 1,684 wounded people were counted, including 116 children.

#FCKPTN #Weapons #UkraineWar #PutinsWar #Belarus #Putin",2022-02-28 07:42:15,1498201871118475008,2022-09,"the interior ministry of  ukraine reported on sunday evening 352 civilians killed since russia's attack on ukraine, including 14 children. a further 1,684 wounded people were counted, including 116 children.  fckptn  weapons  ukrainewar  putinswar  belarus  putin","das innenministerium der  ukraine meldete am sonntagabend 352 getötete zivilisten seit dem angriff russlands auf die ukraine, darunter 14 kinder. weiterhin werden 1684 verwundete menschen gezählt, darunter 116 kinder.  fckptn  waffen  ukrainekrieg  putinswar  belarus  putin","['Innenministerium', 'Ukraine', 'melden', 'an', 'sonntagabend', 'getötet', 'Zivilist', 'seit', 'Angriff', 'Russland', 'auf', 'Ukraine', 'darunter', 'Kind', 'weiterhin', 'verwundet', 'Mensch', 'zählen', 'darunter', 'Kind', 'Fckptn', 'Waffe', 'Ukrainekrieg', 'Putinswar', 'belarus', 'Putin']","['melden', 'getötet', 'verwundet', 'zählen']","['Innenministerium', 'Ukraine', 'Zivilist', 'Angriff', 'Russland', 'Ukraine', 'Kind', 'Mensch', 'Kind', 'Fckptn', 'Waffe', 'Ukrainekrieg', 'Putinswar', 'Putin']","['russlands/LOC', 'ukraine/LOC']",[''],"['interior', 'ministry', 'of', 'ukraine', 'report', 'on', 'sunday', 'evening', 'civilian', 'kill', 'russia', 'attack', 'on', 'ukraine', 'include', 'child', 'further', 'wound', 'people', 'count', 'include', 'child', 'fckptn', 'weapon', 'ukrainewar', 'putinswar', 'belarus', 'putin']","['report', 'kill', 'include', 'further', 'wound', 'count', 'include', 'fckptn', 'ukrainewar', 'putinswar']","['interior', 'ministry', 'ukraine', 'sunday', 'evening', 'civilian', 'russia', 'attack', 'ukraine', 'child', 'people', 'child', 'weapon', 'belarus', 'putin']","['sunday/DATE', '352/CARDINAL', 'russia/GPE', '14/CARDINAL', '1', '684/CARDINAL', '116/CARDINAL', 'putin/PERSON']",[''],de,people_killed,,
212,212,212,"@Bundeskanzler Einfuhren aus Russland sofort STOPPEN, ob GAS oder Kohle! Es kann nicht sein, dass Deutschland sich an #Kriegsverbrechen mitschuldig macht. #StopPutinNOW","@Federal Chancellor STOP imports from Russia immediately, whether GAS or coal! It cannot be the case that Germany is complicit in war crimes. #StopPutinNOW",2022-03-11 16:52:55,1502326713505751040,2022-10,"chancellor stop imports from russia immediately, whether gas or coal! it cannot be the case that germany is complicit in war crimes.  stopputinnow","einfuhren aus russland sofort stoppen, ob gas oder kohle! es kann nicht sein, dass deutschland sich an  kriegsverbrechen mitschuldig macht.  stopputinnow","['einfuhren', 'aus', 'Russland', 'sofort', 'stoppen', 'Gas', 'Kohle', 'es', 'Deutschland', 'sich', 'an', 'Kriegsverbrechen', 'mitschuldig', 'machen', 'Stopputinnow']","['einfuhren', 'stoppen', 'Kohle', 'Kriegsverbrechen', 'machen']","['Russland', 'Gas', 'Deutschland', 'mitschuldig', 'Stopputinnow']","['russland/LOC', 'deutschland/LOC']",[''],"['chancellor', 'stop', 'import', 'from', 'russia', 'immediately', 'gas', 'coal', 'it', 'case', 'germany', 'complicit', 'in', 'war', 'crime', 'stopputinnow']","['stop', 'complicit', 'stopputinnow']","['chancellor', 'import', 'russia', 'gas', 'coal', 'case', 'germany', 'war', 'crime']","['russia/GPE', 'germany/GPE']",[''],de,sanctions,,
213,213,213,"#Ukraine
Alle schimpfen über hohen benzinpreise
Die EU finanziert den Krieg Putins 
Ein imbargo wäre sinnvoll für eine kurze Zeit
Vom Öl und gasexport finanziert Putin den Krieg!!!","#Ukraine
Everyone complains about high gas prices
The EU is financing Putin's war
An imbargo would make sense for a short period of time
Putin is financing the war from oil and gas exports!!!",2022-03-13 09:58:03,1502947084948984064,2022-10,ukraine everyone complains about high gas prices the eu is financing putin's war an imbargo would make sense for a short period of time putin is financing the war from oil and gas exports!!!,ukraine alle schimpfen über hohen benzinpreise die eu finanziert den krieg putins ein imbargo wäre sinnvoll für eine kurze zeit vom öl und gasexport finanziert putin den krieg!!!,"['ukrainen', 'Schimpfe', 'über', 'hoch', 'benzinpreise', 'EU', 'finanzieren', 'Krieg', 'Putin', 'Imbargo', 'sinnvoll', 'für', 'kurz', 'Zeit', 'von', 'öl', 'Gasexport', 'finanzieren', 'Putin', 'Krieg']","['ukrainen', 'hoch', 'finanzieren', 'kurz', 'finanzieren']","['Schimpfe', 'EU', 'Krieg', 'Putin', 'Imbargo', 'Zeit', 'öl', 'Gasexport', 'Putin', 'Krieg']","['ukraine/LOC', 'eu/ORG', 'putins/PER', 'putin/PER', 'krieg_!/ORG']",[''],"['ukraine', 'everyone', 'complain', 'about', 'high', 'gas', 'price', 'eu', 'finance', 'putin', 'war', 'imbargo', 'make', 'sense', 'for', 'short', 'period', 'of', 'time', 'putin', 'finance', 'war', 'from', 'oil', 'gas', 'export']","['complain', 'high', 'finance', 'make', 'short', 'finance']","['ukraine', 'gas', 'price', 'eu', 'putin', 'war', 'imbargo', 'sense', 'period', 'time', 'putin', 'war', 'oil', 'gas', 'export']","['ukraine/GPE', 'putin/PERSON', 'putin/PERSON']",[''],de,sanctions,,
216,216,216,"@RusBotschaft Oho, eine spezielle Gesprächssituation.

#Putin führt Krieg und begeht Kriegsverbrechen.
Den Mist könnt ihr euch sparen.","@RusMessage Oh, a special conversation situation.

#Putin wages war and commits war crimes.
You can save yourself that crap.",2022-03-10 16:06:16,1501952586454384896,2022-10,"oh, a special conversation situation.  putin wages war and commits war crimes. you can save yourself that crap.","oho, eine spezielle gesprächssituation.  putin führt krieg und begeht kriegsverbrechen. den mist könnt ihr euch sparen.","['oho', 'speziell', 'Gesprächssituation', 'Putin', 'führen', 'Krieg', 'begehen', 'Kriegsverbrechen', 'Mist', 'können', 'euch', 'sparen']","['speziell', 'führen', 'begehen', 'können', 'sparen']","['oho', 'Gesprächssituation', 'Putin', 'Krieg', 'Kriegsverbrechen', 'Mist']","['oho/MISC', 'krieg/MISC', 'könnt/PER']",[''],"['oh', 'special', 'conversation', 'situation', 'putin', 'wages', 'war', 'commit', 'war', 'crime', 'you', 'save', 'yourself', 'crap']","['special', 'commit', 'save']","['conversation', 'situation', 'putin', 'wages', 'war', 'war', 'crime', 'crap']",['putin/PERSON'],[''],de,unjustified_war,,
250,250,250,Der #Generalbundesanwalt ermittelt wg. möglicher #Kriegsverbrechen #Russland-s in der #Ukraine - gegen Präsident #Putin persönlich allerdings nicht. Auch der Internationale Strafgerichtshof (#IStGH) ermittelt bereits. Nach .../2 https://t.co/DUjDLKylHE,The Federal Attorney General is investigating... possible #warcrimes #Russia in #Ukraine - but not against President #Putin personally. The International Criminal Court (ICC) is also already investigating. After .../2 https://t.co/DUjDLKylHE,2022-03-08 18:27:41,1501263401900773120,2022-10,the federal attorney general is investigating... possible  warcrimes  russia in  ukraine but not against president  putin personally. the international criminal court (icc) is also already investigating. after .../2,der  generalbundesanwalt ermittelt wg. möglicher  kriegsverbrechen  russland-s in der  ukraine gegen präsident  putin persönlich allerdings nicht. auch der internationale strafgerichtshof ( istgh) ermittelt bereits. nach .../2,"['Generalbundesanwalt', 'ermitteln', 'möglich', 'Kriegsverbrechen', 'Russland-s', 'in', 'Ukraine', 'gegen', 'Präsident', 'Putin', 'persönlich', 'allerdings', 'auch', 'international', 'Strafgerichtshof', 'Istgh', 'ermitteln', 'bereits', 'nach', '/2']","['ermitteln', 'möglich', 'international', 'ermitteln']","['Generalbundesanwalt', 'Kriegsverbrechen', 'Russland-s', 'Ukraine', 'Präsident', 'Putin', 'Strafgerichtshof', 'Istgh', '/2']","['ukraine/LOC', 'putin/ORG', 'internationale_strafgerichtshof/ORG', 'istgh/ORG']",[''],"['federal', 'attorney', 'general', 'investigate', 'possible', 'warcrime', 'russia', 'in', 'ukraine', 'against', 'president', 'putin', 'personally', 'international', 'criminal', 'court', 'icc', 'also', 'already', 'investigate', 'after']","['federal', 'investigate', 'possible', 'international', 'criminal', 'investigate']","['attorney', 'general', 'warcrime', 'russia', 'ukraine', 'president', 'putin', 'court', 'icc']","['russia/GPE', 'putin/PERSON']",[''],de,unjustified_war,,
252,252,252,"Der gezielte Bombenangriff auf die #Kinderklinik in #Mariupol ist abscheulich skrupellos und zeigt die ganze Unmenschlichkeit von #Putin. 
Es ist ein barbarisches, brutales #Kriegsverbrechen - unentschuldbar inhuman. 
#StopPutinNOW #StandWithUkraine #PutinIsaWarCriminal","The targeted bomb attack on the #Children's Clinic in #Mariupol is despicably unscrupulous and shows the full inhumanity of #Putin.
It is a barbaric, brutal #warcrime - inexcusably inhumane.
#StopPutinNOW #StandWithUkraine #PutinIsaWarCriminal",2022-03-10 04:30:38,1501777526447910912,2022-10,"the targeted bomb attack on the  children's clinic in  mariupol is despicably unscrupulous and shows the full inhumanity of  putin. it is a barbaric, brutal  warcrime inexcusably inhumane.  stopputinnow  standwithukraine  putinisawarcriminal","der gezielte bombenangriff auf die  kinderklinik in  mariupol ist abscheulich skrupellos und zeigt die ganze unmenschlichkeit von  putin. es ist ein barbarisches, brutales  kriegsverbrechen unentschuldbar inhuman.  stopputinnow  standwithukraine  putinisawarcriminal","['gezielt', 'bombenangriff', 'auf', 'Kinderklinik', 'in', 'Mariupol', 'abscheulich', 'skrupellos', 'zeigen', 'ganz', 'unmenschlichkeit', 'von', 'Putin', 'es', 'barbarisch', 'brutal', 'Kriegsverbrechen', 'unentschuldbar', 'inhuman', 'Stopputinnow', 'standwithukrain', 'putinisawarcriminal']","['gezielt', 'zeigen', 'ganz', 'barbarisch', 'brutal', 'standwithukrain']","['bombenangriff', 'Kinderklinik', 'Mariupol', 'unmenschlichkeit', 'Putin', 'Kriegsverbrechen', 'Stopputinnow']",[''],[''],"['targeted', 'bomb', 'attack', 'on', 'child', 'clinic', 'in', 'mariupol', 'despicably', 'unscrupulous', 'show', 'full', 'inhumanity', 'of', 'putin', 'it', 'barbaric', 'brutal', 'warcrime', 'inexcusably', 'inhumane', 'stopputinnow', 'standwithukraine', 'putinisawarcriminal']","['targeted', 'unscrupulous', 'show', 'full', 'barbaric', 'brutal', 'inhumane', 'standwithukraine']","['bomb', 'attack', 'child', 'clinic', 'mariupol', 'inhumanity', 'putin', 'warcrime', 'stopputinnow', 'putinisawarcriminal']",['putin/PERSON'],[''],de,unjustified_war,,
272,272,272,"#Ukraine️ - wir sollten auf #Gas und #Öl aus #Russland verzichten. Es ist #unerträglich, dass mit unserem #Geld #Menschen #abgeschlachtet werden.",#Ukraine️ - we should give up #gas and #oil from #Russia. It is #unbearable that people are #slaughtered with our #money.,2022-03-09 17:46:49,1501615506058531072,2022-10,ukraine️ we should give up  gas and  oil from  russia. it is  unbearable that people are  slaughtered with our  money.,"ukraine️ wir sollten auf  gas und  öl aus  russland verzichten. es ist  unerträglich, dass mit unserem  geld  menschen  abgeschlachtet werden.","['ukraine️', 'wir', 'auf', 'Gas', 'aus', 'Russland', 'verzichten', 'es', 'unerträglich', 'mit', 'Geld', 'Mensch', 'abschlachten']","['verzichten', 'abschlachten']","['ukraine️', 'Gas', 'Russland', 'Geld', 'Mensch']",['russland/LOC'],[''],"['ukraine️', 'we', 'give', 'up', 'gas', 'oil', 'from', 'russia', 'it', 'unbearable', 'people', 'slaughter', 'with', 'our', 'money']","['give', 'unbearable', 'slaughter']","['gas', 'oil', 'russia', 'people', 'money']",['russia/GPE'],[''],de,sanctions,,
